state,district,year_cleaned,crop,production,yield,annual_rainfall
Andhra Pradesh,MAHBUBNAGAR,2003,Bajra,6671.0,0.5800365185636032,1096.8
Andhra Pradesh,MAHBUBNAGAR,2003,Bajra,28.0,0.5833333333333334,1096.8
Andhra Pradesh,MEDAK,2001,Bajra,406.0,0.4666666666666667,1009.3
Andhra Pradesh,MEDAK,2002,Bajra,279.0,0.4744897959183674,703.2
Andhra Pradesh,MEDAK,2003,Bajra,406.0,0.6105263157894737,1096.8
Andhra Pradesh,MEDAK,2003,Bajra,5.0,0.5555555555555556,1096.8
Andhra Pradesh,NALGONDA,2001,Bajra,4325.0,0.4419578990394441,1009.3
Andhra Pradesh,NALGONDA,2001,Bajra,11.0,0.4583333333333333,1009.3
Andhra Pradesh,NALGONDA,2002,Bajra,6235.0,0.4129959594621448,703.2
Andhra Pradesh,NALGONDA,2003,Bajra,13438.0,0.6269770914011105,1096.8
Andhra Pradesh,NALGONDA,2003,Bajra,3.0,0.6,1096.8
Andhra Pradesh,NIZAMABAD,2001,Bajra,2618.0,0.4670829616413916,1009.3
Andhra Pradesh,NIZAMABAD,2002,Bajra,2134.0,0.4739062846990895,703.2
Andhra Pradesh,NIZAMABAD,2003,Bajra,2919.0,0.6109250732524069,1096.8
Andhra Pradesh,PRAKASAM,2001,Bajra,9786.0,1.2280085330656294,1009.3
Andhra Pradesh,PRAKASAM,2001,Bajra,880.0,1.2273361227336124,1009.3
Andhra Pradesh,PRAKASAM,2002,Bajra,9378.0,0.9320214669051878,703.2
Andhra Pradesh,PRAKASAM,2002,Bajra,185.0,0.9343434343434344,703.2
Andhra Pradesh,PRAKASAM,2003,Bajra,37324.0,1.4050065876152833,1096.8
Andhra Pradesh,PRAKASAM,2003,Bajra,93.0,1.4090909090909092,1096.8
Andhra Pradesh,RANGAREDDI,2001,Bajra,330.0,0.4674220963172804,1009.3
Andhra Pradesh,RANGAREDDI,2001,Bajra,16.0,0.4705882352941176,1009.3
Andhra Pradesh,RANGAREDDI,2002,Bajra,328.0,0.4746743849493487,703.2
Andhra Pradesh,RANGAREDDI,2002,Bajra,,0.0,703.2
Andhra Pradesh,RANGAREDDI,2003,Bajra,592.0,0.6109391124871001,1096.8
Andhra Pradesh,RANGAREDDI,2003,Bajra,1.0,1.0,1096.8
Andhra Pradesh,SPSR NELLORE,2001,Bajra,1357.0,1.479825517993457,1009.3
Andhra Pradesh,SPSR NELLORE,2001,Bajra,99.0,1.4776119402985075,1009.3
Andhra Pradesh,SPSR NELLORE,2002,Bajra,1671.0,1.260180995475113,703.2
Andhra Pradesh,SPSR NELLORE,2002,Bajra,45.0,1.25,703.2
Andhra Pradesh,SPSR NELLORE,2003,Bajra,1982.0,1.6299342105263157,1096.8
Andhra Pradesh,SPSR NELLORE,2003,Bajra,20.0,1.6666666666666667,1096.8
Andhra Pradesh,SRIKAKULAM,2001,Bajra,2927.0,1.0058419243986254,1009.3
Andhra Pradesh,SRIKAKULAM,2002,Bajra,4508.0,1.2968929804372842,703.2
Andhra Pradesh,SRIKAKULAM,2003,Bajra,8634.0,2.362889983579638,1096.8
Andhra Pradesh,VISAKHAPATANAM,2001,Bajra,13019.0,0.8299757745760551,1009.3
Andhra Pradesh,VISAKHAPATANAM,2002,Bajra,8897.0,0.6299653048219217,703.2
Andhra Pradesh,VISAKHAPATANAM,2002,Bajra,,0.0,703.2
Andhra Pradesh,VISAKHAPATANAM,2003,Bajra,20312.0,1.1429857633222666,1096.8
Andhra Pradesh,VIZIANAGARAM,2001,Bajra,2956.0,1.0851688693098385,1009.3
Andhra Pradesh,VIZIANAGARAM,2002,Bajra,2735.0,0.8851132686084142,703.2
Andhra Pradesh,VIZIANAGARAM,2003,Bajra,2038.0,1.3022364217252396,1096.8
Andhra Pradesh,WARANGAL,2001,Bajra,26.0,0.4727272727272727,1009.3
Andhra Pradesh,WARANGAL,2002,Bajra,23.0,0.4693877551020408,703.2
Andhra Pradesh,WARANGAL,2003,Bajra,38.0,0.6129032258064516,1096.8
Andhra Pradesh,WARANGAL,2003,Bajra,177.0,0.6103448275862069,1096.8
Andhra Pradesh,WEST GODAVARI,2003,Bajra,102.0,1.36,1096.8
Andhra Pradesh,ADILABAD,2001,Banana,5063.0,22.502222222222223,1009.3
Andhra Pradesh,ADILABAD,2002,Banana,317.0,24.384615384615383,703.2
Andhra Pradesh,ADILABAD,2003,Banana,1540.0,14.0,1096.8
Andhra Pradesh,ANANTAPUR,2001,Banana,462.0,0.2920353982300885,1009.3
Andhra Pradesh,ANANTAPUR,2002,Banana,1006.0,52.94736842105263,703.2
Andhra Pradesh,ANANTAPUR,2003,Banana,1302.0,36.16666666666666,1096.8
Andhra Pradesh,CHITTOOR,2001,Banana,7156.0,7.120398009950248,1009.3
Andhra Pradesh,CHITTOOR,2002,Banana,50841.0,52.959375,703.2
Andhra Pradesh,CHITTOOR,2003,Banana,21222.0,36.15332197614992,1096.8
Andhra Pradesh,EAST GODAVARI,2001,Banana,122822.0,11.973289140183272,1009.3
Andhra Pradesh,EAST GODAVARI,2002,Banana,116270.0,14.626997106554285,703.2
Andhra Pradesh,EAST GODAVARI,2003,Banana,67488.0,7.069026919451137,1096.8
Andhra Pradesh,GUNTUR,2001,Banana,204939.0,25.723484373038787,1009.3
Andhra Pradesh,GUNTUR,2002,Banana,151697.0,22.573958333333334,703.2
Andhra Pradesh,GUNTUR,2003,Banana,42238.0,7.434958634043302,1096.8
